NAME,IMO#,TYPE,GT,BUILT,FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL 
Ancona,9110511,Bulk Carrier,39283.0,1995.0,Liberia ,Unknown owners,Unknown,Unknown owners,Ancona Shipholding Limited,Liberia,Chittagong,Bangladesh,2015-06-27
Zheneng 6,9087192,Bulk Carrier,38138.0,1995.0,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Chittagong,Bangladesh,2015-08-31
E. Karakaya,8502078,General Cargo With Container Capacity,6395.0,1998.0,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Ghent,Belgium,2015-06-24
Ju Sheng Xing,7433397,Bulk Carrier,23768.0,1978.0,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Unknown,China,2014-12-31
Ju Fu Xing,7374010,Bulk Carrier,35252.0,1975.0,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Xinhui,China,2015-05-11
Ju Jin Yuan,7927752,Bulk Carrier,23525.0,1984.0,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Xinhui,China,2015-05-05
Winner,8130734,Bulk Carrier,23646.0,1983.0,Palau ,Unknown owners,Unknown,Unknown owners,Sun Winner Marine Limited Corporation,Panama,Alang,India,2015-05-17
Sea Pride,8810188,Liquid Petroleum Gas Carrier,7949.0,1991.0,Panama ,Unknown owners,Unknown,Unknown owners,Sea Star Enterprises SA,United Arab Emirates,Alang,India,2015-05-21
Barracuda II,7639006,Tug,716.0,1977.0,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Morrito Maritime Incorporated,St. Kitts-Nevis,Mumbai,India,2015-05-26
Mino G.,7725697,Bulk Carrier,11676.0,1979.0,Cambodia ,Unknown owners,Unknown,Unknown owners,Sireen Shipping Company SA,Syria,Alang,India,2015-06-02
Eva II,8212960,Product Tanker,26309.0,1988.0,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-04-29
Sabino,7725673,Bulk Carrier,11676.0,1979.0,Cambodia ,Unknown owners,Unknown,Unknown owners,Jinard Shipping Company S.A.,Honduras,Alang,India,2015-07-03
Cheng,8115332,General Cargo With Container Capacity,14160.0,1983.0,St. Vincent & Grenadines ,Unknown owners,Unknown,Unknown owners,Shipping Navigation Limited,Seychelles,Alang,India,2015-07-29
Lina Y.,8029246,Bulk Carrier,,1982.0,Togo ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-08-26
Vow,8108793,Fully Cellular Containership,19915.0,1983.0,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-09-14
Glory Morning,8416164,Bulk Carrier,13036.0,1986.0,Panama ,Unknown owners,Unknown,Unknown owners,Gold Zone Shipping Limited ,Hong Kong,Alang,India,2015-10-10
Trustworthy ,7713876,Bulk Carrier,10704.0,1978.0,Cambodia,Unknown owners,Unknown,Unknown owners,Realistic Stand Shipping S.A. ,Panama,Alang,India,2015-12-04
SC Sunny,8601446,General Cargo With Container Capacity,12301.0,1986.0,Panama,Unknown owners,Unknown,Unknown owners,Ever Sunny Shipping Limited ,British Virgin Islands,Alang,India,2015-12-31
Bulk Cajun,8200450,Bulk Carrier,36958.0,1984.0,Panama ,Unknown owners,Unknown,Unknown owners,Bulk Cajun (Bermuda) Limited  ,Bermuda,Gadani,Pakistan,2015-03-02
Great Inc,8128195,Chemical Tanker,14849.0,1984.0,Tanzania ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Gadani,Pakistan,2015-06-04
Ambar,8301814,Product Tanker,19290.0,1993.0,Tanzania ,Unknown owners,Unknown,Unknown owners,Alfa Ship Trading LLC,Tanzania,Gadani,Pakistan,2015-07-31
Rand,7713266,General Cargo With Container Capacity,4415.0,1979.0,Togo ,Unknown owners,Unknown,Unknown owners,Rama Shipping S.A.,Honduras,Aliaga,Turkey,2015-03-21
Moda,7932642,General Cargo With Container Capacity,997.0,1979.0,Comoros ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-02-19
