Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
Indonesia,Mitra Anugrah Samudra ,Alexa,8223361,Indonesia,,,Mitra Anugrah Samudra ,Mitra Anugrah Samudra ,Chittagong,Bangladesh,2014-08-10 00:00:00,Vehicle Carrier,1982,14658
Indonesia,Mitra Anugrah Samudra ,Dinda,8316493,Indonesia,,,Mitra Anugrah Samudra ,Mitra Anugrah Samudra ,Chittagong,Bangladesh,2014-11-17 00:00:00,Vehicle Carrier,1984,9734
Indonesia,P.T. Andhika Lines ,Andhika Ashura,8414180,Indonesia,,,P.T. Adnyana ,P.T. Adnyana ,Chittagong,Bangladesh,2014-05-13 00:00:00,Tanker,1984,4251
Indonesia,P.T. Berlian Laju Tanker Tbk. ,Gas Jawa,8904056,Indonesia,,,P.T. Berlian Laju Tanker Tbk. ,P.T. Berlian Laju Tanker Tbk. ,Chittagong,Bangladesh,2014-11-23 00:00:00,Gas Carrier,1989,3484
Indonesia,P.T. Berlian Laju Tanker Tbk. ,Raini,8821905,Indonesia,,,P.T. Berlian Laju Tanker Tbk. ,P.T. Pearl Maritime ,Chittagong,Bangladesh,2014-03-10 00:00:00,Tanker,1991,58078
Indonesia,P.T. Bintang Trans Lintas ,Trans Tenang,8307545,Indonesia,,,P.T. Bintang Trans Lintas ,P.T. Bintang Trans Lintas ,Chittagong,Bangladesh,2014-12-24 00:00:00,Bulk carrier,1984,24844
Indonesia,P.T. Humpuss Intermoda Transportasi Tbk ,Batang Anai,8120648,Indonesia,,,P.T. Humpuss Intermoda Transportasi Tbk ,P.T. Humpuss Intermoda Transportasi Tbk ,Chittagong,Bangladesh,2014-01-15 00:00:00,Fully Cellular Containership,1984,5376
Indonesia,P.T. Meranti Maritime Limited ,Agatis,9117844,Panama,,,P.T. Meranti Maritime Limited ,P.T. Meranti Maritime Limited ,Chittagong,Bangladesh,2014-03-24 00:00:00,Bulk carrier,1996,16498
Indonesia,P.T. Pelayaran Isa Line ,Isa Active,8114924,Indonesia,,,P.T. Pelayaran Isa Line ,P.T. Pelayaran Isa Line ,Chittagong,Bangladesh,2014-05-29 00:00:00,Bulk carrier,1982,12844
Indonesia,P.T. Tanto Intim Line ,Lumoso,8130928,Tuvalu,Indonesia,2014-12-21 00:00:00,P.T. Tanto Intim Line ,P.T. Tanto Intim Line ,Chittagong,Bangladesh,2014-12-27 00:00:00,Fully Cellular Containership,1983,8147
Indonesia,PT. Meratus Line ,Spirit,8602751,Comoros,Indonesia,2014-08-12 00:00:00,PT. Meratus Line ,PT. Mitra Buana Line ,Chittagong,Bangladesh,2014-08-12 00:00:00,General Cargo,1989,9974
Indonesia,P.T. Caraka Tirta Pratama ,Pramuda,8016653,Comoros,Indonesia,2014-10-20 00:00:00,P.T. Caraka Tirta Pratama ,P.T. Caraka Tirta Pratama ,Gadani,Pakistan,2014-10-28 00:00:00,Bulk carrier,1983,24094
Indonesia,P.T. Putra Utama Mandiri Lines ,Success,9006899,Togo,Indonesia,2014-01-06 00:00:00,P.T. Putra Utama Mandiri Lines ,P.T. Putra Utama Mandiri Lines ,Gadani,Pakistan,2014-01-06 00:00:00,Tanker,1993,53829
Indonesia,P.T. Trada International ,Rais,7920558,Comoros,Indonesia,2014-11-14 00:00:00,PT Trada Maritime Tbk ,PT Trada Maritime Tbk ,Gadani,Pakistan,2014-11-08 00:00:00,Floating storage,1980,23801
Indonesia,Government of Indonesia ,Marigold Star,8118700,Indonesia,,,Government of Indonesia ,P.T. Pertamina Tongkang ,Surabaya,Indonesia,2014-04-26 00:00:00,Fully Cellular Containership,1982,5354
Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Canna,7419987,Indonesia,,,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Unknown,Indonesia,2014-01-27 00:00:00,Fully Cellular Containership,1975,2551
Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Selatan Megah,7525877,Indonesia,,,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Unknown,Indonesia,2014-01-27 00:00:00,Fully Cellular Containership,1977,6417
Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Timur Galaxy,8318726,Indonesia,,,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Unknown,Indonesia,2014-01-31 00:00:00,General Cargo,1984,6182
Indonesia,"Rimba Segara Lines, P.T., Perusahaan Pelayaran Khusus Luar Negeri ",Rimba Tujuh,8312198,Indonesia,,,"Rimba Segara Lines, P.T., Perusahaan Pelayaran Khusus Luar Negeri ","Rimba Segara Lines, P.T., Perusahaan Pelayaran Khusus Luar Negeri ",Unknown,Indonesia,2014-01-31 00:00:00,General Cargo,1983,5612
Iran,Sapid Shipping Company ,Marwan,8320169,Comoros,Iran,2013-12-28 00:00:00,Sapid Shipping Company ,King Prosper Investments Limited ,Alang,India,2013-12-31 00:00:00,Bulk carrier,1985,25770
Iran,Sapid Shipping Company ,Teval,8320133,Comoros,Iran,2013-12-30 00:00:00,Sapid Shipping Company ,Master Supreme International Limited ,Alang,India,2014-01-04 00:00:00,Bulk carrier,1985,25768
Iran,Sapid Shipping Company ,Stavros,8309701,Comoros,Iran,2014-04-27 00:00:00,Sapid Shipping Company ,Modern Elegant Development Limited ,Alang,India,2014-04-27 00:00:00,Bulk carrier,1985,25768
Iran,Qeshm Ramouz Gostar Shipping Company ,Magnum,8003357,Comoros,Iran,2014-06-16 00:00:00,Qeshm Ramouz Gostar Shipping Company ,Qeshm Ramouz Gostar Shipping Company ,Gadani,Pakistan,2014-10-22 00:00:00,Tanker,1983,22580
Ireland,Irish Mainport Holdings,Mainport Oak,8213902,Marshall Islands ,,,Mainport International Corporation,Mainport International Corporation,Aliaga,Turkey,2014-12-16 00:00:00,Tug/Supply,1983,1089
Israel,Israel Corporation Limited ,Zim Jamaica,9113680,Liberia,,,Zim Integrated Shipping Services Limited ,Zim Jamaica Maritime Company S.a.r.l. ,Alang,India,2014-10-01 00:00:00,Fully Cellular Containership,1997,41507
Israel,Israel Corporation Limited ,Zim Atlantic,9113678,Liberia,,,Zim Integrated Shipping Services Limited ,Zim Atlantic Maritime Company S.a.r.l. ,Alang,India,2014-10-23 00:00:00,Fully Cellular Containership,1996,41507
Israel,Israel Corporation Limited ,Odessa Star,9223746,Malta,,,Zim Integrated Shipping Services Limited ,Sand Duke Marine Company Limited ,Alang,India,2014-01-09 00:00:00,Fully Cellular Containership,2000,20569
Israel,Israel Corporation Limited ,Asia Star,9046241,Malta,,,Zim Integrated Shipping Services Limited ,Azurro Maritime Limited ,Alang,India,2014-04-15 00:00:00,Fully Cellular Containership,1994,16043
Italy,Grimaldi Group Napoli ,Eurocargo Africa,7909982,Malta,,,Grimaldi Compagnia di Navigazione S.p.A. (GRINAVI) ,Malta Motorways of the Sea Limited ,Alang,India,2014-03-11 00:00:00,RoRo,1981,33652
Italy,Ignazio Messina & C. S.p.A. ,Jolly Bianco,7931765,Italy,,,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Alang,India,2014-05-12 00:00:00,RoRo,1982,30969
Italy,Ignazio Messina & C. S.p.A. ,Ross,7931777,Italy,,,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Alang,India,2014-07-15 00:00:00,RoRo,1983,30969
Italy,Ignazio Messina & C. S.p.A. ,One,7361180,Palau,Italy,2014-10-26 00:00:00,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Alang,India,2014-11-06 00:00:00,RoRo,1975,40594
Italy,Ignazio Messina & C. S.p.A. ,Verd,7931789,St. Kitts-Nevis,Italy,2014-06-08 00:00:00,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Alang,India,2014-06-25 00:00:00,RoRo,1983,30969
Italy,Vittorio Bogazzi & Figli S.p.A.,Skodsborg,7725142,Panama,,,Vittorio Bogazzi & Figli S.p.A.,Vittorio Bogazzi & Figli S.p.A.,Alang,India,2014-08-29 00:00:00,RoRo,1979,14805
Italy,Grimaldi Group Napoli ,Repubblica di Roma,9009504,Sierra Leone ,,,Grimaldi Compagnia di Navigazione S.p.A. (GRINAVI) ,Industria Armamento Meridionale S.p.A. (INARME) ,Aliaga,Turkey,2014-10-17 00:00:00,Roll On Roll Off ,1992,42001
Italy,Impresa di Costruzioni Ing. E. Mantovani S.p.A. ,Slavutich 13,8841527,Belize ,,,Impresa di Costruzioni Ing. E. Mantovani S.p.A. ,Impresa di Costruzioni Ing. E. Mantovani S.p.A. ,Aliaga,Turkey,2014-10-13 00:00:00,General Cargo,1989,2193
Italy,International Global Invest S.r.l.,Favola A.Venezia,5389798,Italy ,,,International Global Invest S.r.l.,International Global Invest S.r.l.,Aliaga,Turkey,2014-04-11 00:00:00,Passenger Ro/Ro ,1963,1502
Italy,Ignazio Messina & C. S.p.A. ,Marrone,7931753,St. Kitts-Nevis,Italy ,2014-12-04 00:00:00,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Chittagong,Bangladesh,2014-12-04 00:00:00,RoRo,1982,30969
Italy,Premuda S.p.A. ,Four Island,9012719,Italy,,,Premuda S.p.A. ,Premuda S.p.A. ,Chittagong,Bangladesh,2014-12-19 00:00:00,Tanker,1995,52176
Japan,JX Shipping Company Limited ,LNG Aries,7390193,Marshall Islands,,,BLNG Incorporated ,BGT Limited ,Alang,India,2014-04-09 00:00:00,Liquid Natural Gas Carrier,1977,95084
Japan,Kobe Shipping Company Limited ,Princess VII,8321905,Panama,,,Kobe Shipping Company Limited ,North Island S.A. ,Alang,India,2014-07-20 00:00:00,Vehicle Carrier,1984,47747
Japan,Meiji Shipping Company Limited ,Chiphop,9128829,Philippines,,,Meiji Shipping Company Limited ,Multinational Maritime Incorporated ,Alang,India,2014-06-01 00:00:00,Wood chip carrier,1996,39695
Japan,Mitsui O.S.K. Lines Limited (MOL) ,MOL Tyne,9087946,Panama,,,International Fleet Management Limited ,MOL Euro-Orient Shipping S.A. ,Alang,India,2014-05-30 00:00:00,Fully Cellular Containership,1995,59622
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Sunny Oasis,9102150,Panama,,,Mitsui O.S.K. Lines Limited (MOL) ,Sunny Oasis Maritime SA ,Alang,India,2014-06-07 00:00:00,Fully Cellular Containership,1995,60133
Japan,Mitsui O.S.K. Lines Limited (MOL) ,MOL Loire,9110042,Panama,,,Mitsui O.S.K. Lines Limited (MOL) ,Ural Container Carriers S.A. ,Alang,India,2014-06-21 00:00:00,Fully Cellular Containership,1995,58531
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Sunny Amazon,9102148,Panama,,,Mitsui O.S.K. Lines Limited (MOL) ,Sunny Amazon Maritime SA ,Alang,India,2014-06-26 00:00:00,Fully Cellular Containership,1995,60133
Japan,Nippon Yusen Kabushiki Kaisha (NYK) ,Century Leader No.5,8513510,Panama,,,Hachiuma Steamship Company Limited ,Mandheling Maritima SA (1%) & Hachiuma Steamship Company Limited (20%) & Nippon Yusen Kabushiki Kaisha (79%) ,Alang,India,2014-09-07 00:00:00,Vehicle Carrier,1986,50867
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Global Spirit,8517279,Liberia,,,MOL Ship Management Company Limited ,World Car Carriers Incorporated ,Aliaga,Turkey,2014-08-04 00:00:00,Vehicle Carrier,1987,47500
Japan,Asiana Lines Incorporated ,Reina Rosa,9112569,Panama,,,Asiana Lines Incorporated ,Dawn Forest Associated S.A. ,Chittagong,Bangladesh,2014-12-15 00:00:00,RoRo,1995,9992
Japan,Meiji Shipping Company Limited ,Charm,9135286,Comoros,Panama,2013-12-25 00:00:00,Maybaru Shipping & Trading Private Limited ,MK Centennial Maritime B.V. ,Gadani,Pakistan,2013-12-28 00:00:00,Tanker,1996,150551
Japan,Mitsui & Company Limited,Tenshin Maru,9088225,Japan,,,Daiichi Tanker Company Limited ,Daiichi Marine Company Limited ,Kure,Japan,2014-03-28 00:00:00,Tanker,1994,1355
Kenya,Seaboard Shipping Services Limited ,Elcastaro,7223039,Somalia,,,Seaboard Shipping Services Limited ,Splash Maritime Limited ,Alang,India,2014-06-04 00:00:00,General Cargo,1972,1812
Kuwait,Alghanim Group of Shipping & Transport WLL ,Hussa Alghanim,8323226,Kuwait,,,Alghanim Group of Shipping & Transport WLL ,Alghanim Group of Shipping & Transport WLL ,Alang,India,2014-02-12 00:00:00,Bulk carrier,1984,22135
Kuwait,Alghanim Group of Shipping & Transport WLL ,Dalal Al Ghanim,8010257,Kuwait,,,Alghanim Group of Shipping & Transport WLL ,Alghanim Group of Shipping & Transport WLL ,Alang,India,2014-02-17 00:00:00,Bulk carrier,1981,23495
Latvia,SIA Roko Shipmanagement ,Ji Yang,8223373,St. Kitts-Nevis,,,SIA Roko Shipmanagement ,Yilixiang Marine Engineering Company Limited ,Alang,India,2014-07-23 00:00:00,Reefer,1983,6504
Latvia,JSC Riga Transport Fleet,Fortune,8517085,Sierra Leone ,Liberia,2014-05-15 00:00:00,JSC Riga Transport Fleet,Ayres Shipping Incorporated ,Aliaga,Turkey,2014-05-16 00:00:00,Product Tanker ,1989,11013
Latvia,Baltic Marine Contractors SIA ,Usedom,9030163,Malta,,,Baltic Marine Contractors SIA ,Kategats Limited ,Ghent,Belgium,2014-01-08 00:00:00,Dredger,1990,1783
Latvia,Baltic Marine Contractors SIA ,Kategats,8416530,Malta,,,Baltic Marine Contractors SIA ,Baltic Marine Contractors SIA ,Ghent,Belgium,2014-04-25 00:00:00,Dredger,1984,2081
Latvia,SIA Aquarius Shipmanagement Company LLC ,Skadi,7528506,Unknown,Dominica,2014-02-03 00:00:00,SIA Aquarius Shipmanagement Company LLC ,Andel Shipping Limited ,Klaipeda,Lithuania,2014-03-26 00:00:00,General Cargo,1976,2239
Latvia,SIA Aquarius Shipmanagement Company LLC ,Ladoga 8,7347483,Unknown,Belize,2014-04-05 00:00:00,SIA Aquarius Shipmanagement Company LLC ,Andel Shipping Limited ,Unknown,Unknown,0,General Cargo,1974,1511
Lebanon,Abou Merhi Lines S.A.L. ,City of Nordic,8325468,Malta,,,Abou Merhi Lines S.A.L. ,Beirut Shipping Company Limited ,Alang,India,2014-05-06 00:00:00,RoRo,1985,8126
Lebanon,Abou Merhi Lines S.A.L. ,City of Beirut,8709121,Panama,,,Abou Merhi Lines S.A.L. ,Byblos Maritime Limited ,Alang,India,2014-08-01 00:00:00,Vehicle Carrier,1987,31367
Lebanon,GMZ Ship Management Company S.A. ,Aquaholic,7707384,Belize,,,GMZ Ship Management Company S.A. ,FMC Marine Company SA ,Alang,India,2014-08-26 00:00:00,General Cargo,1979,5217
Lebanon,Muhieddine Shipping Company ,Laila Queen,8311390,Belize,,,Judi Group J.K.M. ,Eman Shipping Company Limited ,Alang,India,2014-11-12 00:00:00,General Cargo,1986,10572
Lebanon,Zahra Maritime Services Company ,Venus,7942441,Tanzania,,,Zahra Maritime Services Company ,Zahranos Shipping Company S.A. ,Alang,India,2014-06-02 00:00:00,General Cargo,1980,5930
Lebanon,Abou Merhi Lines S.A.L.,City of Sidon,7925273,Panama ,,,Abou Merhi Lines S.A.L.,Saida Maritime Limited,Aliaga,Turkey,2014-12-02 00:00:00,Roll On Roll Off ,1982,6461
Lebanon,Abou Rjeily Shipping Agency,Nejati-K.,5167231,Turkey ,,,Abou Rjeily Shipping Agency,Najati Shipping Company Limited ,Aliaga,Turkey,2014-03-11 00:00:00,General Cargo ,1961,427
Lebanon,Adco SAL,Almostafa,7800136,Comoros ,,,Adco SAL,Al Mostafa Maritime Transport ,Aliaga,Turkey,2014-03-14 00:00:00,General Cargo With Container Capacity ,1979,3296
Lebanon,Alfamarine Shipping Company Limited,Amal,7040994,Cambodia ,,,Alfamarine Shipping Company Limited,Amal Maritime Company S.A. ,Aliaga,Turkey,2014-08-28 00:00:00,General Cargo With Container Capacity ,1971,2397
Lebanon,Bayazid Shipping Company,Abdul B.,7920259,Cambodia ,,,Bayazid Shipping Company,AB Maritime S.A. ,Aliaga,Turkey,2014-03-26 00:00:00,General Cargo With Container Capacity ,1981,4227
Lebanon,Cargo Maritime S.A.,Rawaah B,7602704,St. Vincent & Grenadines ,,,Cargo Maritime S.A.,Security Services International S.A.,Aliaga,Turkey,2014-01-22 00:00:00,General Cargo With Container Capacity ,1977,2583
Lebanon,Faros Shipping Company Sarl,Schooner,7052404,Togo ,,,Faros Shipping Company Sarl,Medline Shipping S.A. ,Aliaga,Turkey,2014-04-05 00:00:00,General Cargo With Container Capacity ,1971,2397
Lebanon,Moon Light Shipping Offshore SAL,Lady Misurata,8922010,St. Vincent & Grenadines ,Antigua & Barbuda,2013-03-04 00:00:00,Moon Light Shipping Offshore SAL,Coiba Maritime Corporation ,Aliaga,Turkey,2014-07-01 00:00:00,Roll On Roll Off ,1991,5999
Lebanon,Nour Ship Management Company Limited,Abboud G.,7821635,Panama ,,,Nour Ship Management Company Limited,Aboud Maritime Company Limited,Aliaga,Turkey,2014-05-27 00:00:00,Bulk Carrier ,1979,11151
Lebanon,Rania Marina S.a.r.l.,Almortada,7612395,Comoros ,,,Rania Marina S.a.r.l.,Al Mortada Maritime Transport ,Aliaga,Turkey,2014-06-30 00:00:00,General Cargo With Container Capacity ,1979,4744
Lebanon,Rayah Maritime Services Group,Darsh F.,8010300,Cambodia ,,,Rayah Maritime Services Group,Darsh F. Shipping Company SA ,Aliaga,Turkey,2014-05-07 00:00:00,General Cargo With Container Capacity ,1982,4317
Lebanon,Faros Shipping Company Sarl ,Ghania,7424229,Togo,,,Faros Shipping Company Sarl ,Ayat Maritime Company S.A,Gadani,Pakistan,2014-04-03 00:00:00,General Cargo,1976,2937
Lebanon,GMZ Ship Management Company S.A. ,Soleil,8300482,Togo,,,GMZ Ship Management Company S.A. ,Dergham Marine S.A. ,Gadani,Pakistan,2014-10-05 00:00:00,General Cargo,1983,5651
Malaysia,Chong Fui Shipping & Forwarding Sendirian Berhad ,Jenwin II,7707085,Malaysia,,,Chong Fui Shipping & Forwarding Sendirian Berhad ,Chong Fui Shipping & Forwarding Sendirian Berhad ,Chittagong,Bangladesh,2014-09-06 00:00:00,General Cargo,1978,3938
Malaysia,Chong Fui Shipping & Forwarding Sendirian Berhad ,Builder Success,7916052,Malaysia,,,Chong Fui Shipping & Forwarding Sendirian Berhad ,Chong Fui Shipping & Forwarding Sendirian Berhad ,Chittagong,Bangladesh,2014-06-06 00:00:00,Reefer,1979,2678
Malaysia,Shin Yang Group of Companies ,Danum 151,7707463,Malaysia,,,Shin Yang Shipping Sendirian Berhad ,Shin Yang Shipping Sendirian Berhad ,Chittagong,Bangladesh,2014-11-15 00:00:00,Fully Cellular Containership,1980,5211
Maldives,Lily Shipping & Trading (Private) Limited ,Lily Regal,8324725,Mongolia,,,Lily Shipping & Trading (Private) Limited ,Erdinger Shipping Private Limited ,Chittagong,Bangladesh,2014-11-19 00:00:00,Fully Cellular Containership,1984,6670
Malta,ABY Group Holding Limited ,Abyo Three / Yo-3,8807038,St. Kitts-Nevis,Malta + Italy,2014-06-14 00:00:00,ABY Group Holding Limited ,Heron Ventures Limited ,Alang,India,2014-07-30 00:00:00,Bulk carrier,1990,64303
Malta,ABY Group Holding Limited ,Abyo One / Yo-1,8506488,Malta,Italy,2014-03-21 00:00:00,ABY Group Holding Limited ,Heron Ventures Limited ,Chittagong,Bangladesh,2014-06-27 00:00:00,Bulk carrier,1987,35560
Malta,ABY Group Holding Limited ,Abyo Two / Yo 2,8807026,St. Kitts-Nevis,Malta + Italy,2014-04-01 00:00:00,ABY Group Holding Limited ,Heron Ventures Limited ,Gadani,Pakistan,2014-07-31 00:00:00,Bulk carrier,1990,64303
Marshall Islands,Orka Sultan Company Limited,Orka Sultan,5386057,Panama ,,,Orka Sultan Company Limited,Orka Sultan Company Limited,Aliaga,Turkey,2014-12-29 00:00:00,Ferry ,1962,3464
Mexico,Cemex SAB de CV,Corregidora,7821166,Panama ,,,Cemex SAB de CV,Cemex Internacional S.A. de C.V. ,Aliaga,Turkey,2014-12-16 00:00:00,Bulk Carrier ,1982,22433
Mexico,Government of Mexico ,Victoria II,8024569,St. Kitts-Nevis,Mexico,2014-03-25 00:00:00,Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex) ,Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex) ,Gadani,Pakistan,2014-08-28 00:00:00,Tanker,1983,23236
Monaco,Petredec Limited ,Golden,9021667,St. Kitts-Nevis,Bahamas,2014-05-23 00:00:00,Petredec Limited ,Agincourt Marine Company Limited ,Alang,India,2014-07-24 00:00:00,Gas Carrier,1993,11361
Monaco,Zodiac Group Monaco ,Eurus Lima,8902395,Liberia,,,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA) ,Eurus Lima LLC ,Alang,India,2014-11-17 00:00:00,Fully Cellular Containership,1990,19595
Monaco,Quantum Pacific Shipping Group ,Cape Hawk,9077379,Liberia,,,Eastern Pacific Shipping Private Limited ,Corrine Navigation S.A. ,Chittagong,Bangladesh,2014-12-22 00:00:00,Bulk carrier,1995,81589
Monaco,Zodiac Group Monaco ,Eurus Lisbone,8902400,Liberia,,,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA) ,Eurus Lisbon LLC ,Chittagong,Bangladesh,2014-12-05 00:00:00,Fully Cellular Containership,1991,19595
Monaco,Zodiac Group Monaco ,Eurus London,9015321,Liberia,,,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA) ,Eurus London LLC ,Chittagong,Bangladesh,2014-12-06 00:00:00,Fully Cellular Refrigerated,1992,19595
Myanmar,Government of the Union of Myanmar ,Mandalay,8121070,Myanmar,,,Myanma Five Star Line ,Myanma Five Star Line ,Unknown,Unknown,0,General Cargo,1983,9754
Netherlands,Kahn Scheepvaart B.V.,Daniella,8718873,Netherlands ,,,Kahn Scheepvaart B.V.,Daniella NV ,Aliaga,Turkey,2014-03-07 00:00:00,General Cargo ,1989,5818
Netherlands,J. Bekkers Company BV ,Alcon,9007776,St. Kitts-Nevis,Liberia,08/13/13,J. Bekkers Company BV ,Falcon Carrier Shipping Limited ,Chittagong,Bangladesh,2013-12-28 00:00:00,Tanker,1992,39036
Netherlands,Spliethoff's Bevrachtingskantoor B.V. ,Chan,8811948,Tuvalu,Netherlands,2014-02-21 00:00:00,Spliethoff's Bevrachtingskantoor B.V. ,Rederij Archangelgracht ,Chittagong,Bangladesh,2014-02-21 00:00:00,General Cargo,1990,7949
Netherlands,Vroon B.V. ,Torrens,7203663,Tonga,,,Vroon B.V. ,Livestock Carrier 1 B.V. ,Chittagong,Bangladesh,2014-07-15 00:00:00,Livestock,1972,8508
Netherlands,Shipowners Support B.V. ,Rekefjord Stone,7359199,Malta,,,Shipowners Support B.V. ,Hertig B.V. ,Ghent,Belgium,2014-05-30 00:00:00,General Cargo,1975,3123
Netherlands,Chase Seismic Survey B.V. ,L'Espoir,7024550,Netherlands,,,Chase Seismic Survey B.V. ,Bon Espoir Survey B.V. ,sGravendeel,Netherlands,2014-03-04 00:00:00,Seismographic Research,1971,1168
Nigeria,Azimuth Shipping Lines Limited ,Rose,8207006,Sierra Leone,,,Azimuth Shipping Lines Limited ,Delakes Oil Trading Limited ,Alang,India,2014-06-11 00:00:00,Tanker,1984,11088
Nigeria,The Sea Trucks Group ,Walvis 8,7343853,St. Vincent & Grenadines,,,Walvis Nigeria Limited ,Panfield Limited ,Alang,India,0,Tug/supply,1973,1049
Nigeria,Genesis Worldwide Shipping & Trading Company Limited,Lister,7924176,Malta ,,,Genesis Worldwide Shipping & Trading Company Limited,Etna Management Limited,Aliaga,Turkey,2014-02-08 00:00:00,Chemical Tanker ,1982,6763
Nigeria,Snow White Energy Limited ,Yug,8808501,Tanzania,Panama,2014-09-10 00:00:00,Snow White Energy Limited ,Snow White Energy Limited ,Gadani,Pakistan,2014-11-19 00:00:00,Tanker,1991,22607
North Korea,"Korea,Government of the Democratic People's Republic of",Pe Gae Bong,8328616,North Korea ,,,Ocean Maritime Management Company Limited ,Sohae Sonbak Company Limited,Jiangyin,China,2014-03-10 00:00:00,General Cargo ,1980,6500
North Korea,"Korea,Government of the Democratic People's Republic of ",Bu Hung,7516424,North Korea ,,,"Korea,Government of the Democratic People's Republic of ",Korea Rungrado Shipping Company ,Jiangyin,China,2014-01-26 00:00:00,General Cargo With Container Capacity ,1977,5386
North Korea,"Korea,Government of the Democratic People's Republic of ",Myong San 1,7632955,North Korea ,,,Ocean Maritime Management Company Limited ,Taedonggang Sonbak Company Limited ,Jiangyin,China,2014-08-22 00:00:00,General Cargo With Container Capacity ,1978,9959
North Korea,"Korea,Government of the Democratic People's Republic of",So Hung 1,8002274,North Korea ,,,Korea Kangsong General Trading Corporation ,Korea Kangsong General Trading Corporation ,Zhangjiagang,China,2014-06-19 00:00:00,General Cargo ,1980,1212
North Korea,"Korea,Government of the Democratic People's Republic of",Tae Dong Gang,7738656,North Korea ,,,Ocean Maritime Management Company Limited ,Sohae Sonbak Company Limited ,Zhangjiagang,China,2014-05-16 00:00:00,General Cargo ,1976,9076
North Korea,"Korea,Government of the Democratic People's Republic of ",Chip Sam,8330827,North Korea ,,,Ocean Maritime Management Company Limited ,Taedonggang Sonbak Company Limited ,Zhangjiagang,China,2014-04-17 00:00:00,General Cargo ,1984,6553
Norway,Continental Ship Management AS ,Esguifinsa,8915873,Dominica,,,Continental Ship Management AS ,Trans-Atlansa Company Limited ,Alang,India,2014-02-15 00:00:00,Fully Cellular Containership,1991,7366
Norway,I.M. Skaugen AS ,Challenger,8121458,St. Kitts-Nevis,Singapore,2013-12-29 00:00:00,I.M. Skaugen Marine Services Private Limited ,I.M. Skaugen Marine Services Private Limited ,Alang,India,2014-01-05 00:00:00,Liquid Petroleum Gas Carrier,1984,5739
Norway,Norwegian Car Carriers ASA (NOCC) ,Vibe,9065182,Comoros,Bahamas,2013-12-24 00:00:00,Norwegian Car Carriers ASA (NOCC) ,Eidsiva 2 RoRo K.S. ,Alang,India,2014-01-31 00:00:00,Vehicle Carrier,1996,23409
Norway,Norwegian Car Carriers ASA (NOCC) ,Vinni,9070931,Norway,,,Norwegian Car Carriers ASA (NOCC) ,Eidsiva 2 RoRo K.S. ,Alang,India,2014-01-28 00:00:00,RoRo,1994,23409
Norway,Salhus Shipping AS ,Mercur,8000915,Bahamas,,,Salhus Shipping AS ,Salhus Shipping AS ,Alang,India,2014-11-26 00:00:00,Tanker,1982,22772
Norway,SeaBird Exploration Norway AS ,Isla de Cedros,8000484,Hong Kong,,,SeaBird Exploration Norway AS ,Lares Shipping Limited ,Alang,India,2014-10-30 00:00:00,Bulk carrier,1982,34405
Norway,Stolt-Nielsens Rederi AS ,Stolt Markland,8906937,Liberia,,,Stolt Tankers B.V. ,Stolt Markland 2 B.V. ,Alang,India,2014-12-05 00:00:00,Tanker,1991,18994
Norway,Myklebusthaug Management AS,Romy Believer,9031454,Malta ,,,Myklebusthaug Management AS ,Romy Shipping AS ,Aliaga,Turkey,2014-01-31 00:00:00,Fully Cellular Containership ,1992,5006
