Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
China,"China Ocean Shipping (Group) Company (COSCO) 
",Bing He,8318051,China ,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,Ningde,China,2014-01-26 00:00:00,Fully Cellular Containership ,1985,23542
China,China Shipping (Group) Company ,Jin Hui,9039341,China ,,,China Shipping Development Company Limited ,"China Shipping Development Company Limited Tramp Company 
",Ningde,China,2014-01-01 00:00:00,Bulk Carrier ,1994,10904
China,China Shipping (Group) Company ,Jin Cang,9118240,China ,,,China Shipping Development Company Limited ,"China Shipping Development Company Limited Tramp Company 
",Ningde,China,2014-01-01 00:00:00,Bulk Carrier ,1995,10904
China,Fujian Shipping Company (FUSCO),Jin Hai Peng,8730144,China ,,,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO),Ningde,China,2014-05-30 00:00:00,Bulk Carrier ,1989,31649
China,Ningbo Marine (Group) Company Limited ,Ming Zhou 75,8321840,China ,,,Ningbo Marine (Group) Company Limited ,Ningbo Marine (Group) Company Limited ,Ningde,China,2014-10-31 00:00:00,Fully Cellular Containership ,1985,8282
China,Shanghai Huachen Shipping Company Limited,Song Tai Shan 5,8317382,China ,,,Shanghai Huachen Shipping Company Limited,Shanghai Huachen Shipping Company Limited,Ningde,China,2014-05-21 00:00:00,Liquid Petroleum Gas Carrier ,1983,563
China,China Ocean Shipping (Group) Company (COSCO) ,Yan He,9118111,China ,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,Shanghai,China,2014-01-14 00:00:00,Fully Cellular Containership ,1996,9951
China,China Ocean Shipping (Group) Company (COSCO) ,Feng An Shan,8400608,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,Shanghai,China,2014-05-15 00:00:00,General Cargo With Container Capacity ,1985,13367
China,China Ocean Shipping (Group) Company (COSCO) ,Yuan He,9067568,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Taizhou,China,2014-02-20 00:00:00,Fully Cellular Containership ,1994,48311
China,China Ocean Shipping (Group) Company (COSCO) ,Tian Tan Hai,8406432,China,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Unknown,China,2014-07-29 00:00:00,Bulk Carrier,1985,26703
China,China Ocean Shipping (Group) Company (COSCO) ,Ai Ding Hu,9214642,China,,,Dalian Ocean Shipping Company (COSCO Dalian) ,Dalian Ocean Shipping Company (COSCO Dalian) ,Unknown,China,2014-10-31 00:00:00,Product Tanker ,1999,38381
China,China Shipping (Group) Company ,Zhen Fen 10,8407682,China,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Unknown,Unknown,0,Bulk carrier,1985,12827
China,Fujian Guanhai Shipping Company Limited ,Bao Zhong 188,8623949,China,,,Fujian Guanhai Shipping Company Limited ,Fujian Guanhai Shipping Company Limited ,Unknown,China,2014-02-01 00:00:00,Bulk carrier,1987,31649
China,Fujian Province Xiamen Shipping Corporation,Zi Bao Shi,8401389,China ,,,Fujian Province Xiamen Shipping Corporation,Fujian Province Xiamen Shipping Corporation,Unknown,China,2014-05-01 00:00:00,Bulk Carrier ,1985,34626
China,Fujian Quanzhou Fengze Shipping Company,Feng Ze 16,9030694,China ,,,Fujian Quanzhou Fengze Shipping Company,Fujian Quanzhou Fengze Shipping Company,Unknown,China,2014-03-31 00:00:00,Fully Cellular Containership ,1991,2270
China,Fullocean Shipping Company Limited ,Jian Du Hai,8607608,China ,,,Fullocean Shipping Company Limited ,Fullocean Shipping Company Limited ,Unknown,China,2014-02-20 00:00:00,General Cargo,1991,3995
China,Guangzhou Salvage Bureau ,De Yue,7820813,China ,,,Guangzhou Salvage Bureau ,Guangzhou Salvage Bureau ,Unknown,China,2014-04-24 00:00:00,Salvage Tug ,1979,3883
China,Shanghai Jinhai Shipping & Trading Company Limited ,Jin Hai Lian,8322911,China ,,,Shanghai Jinhai Shipping & Trading Company Limited,Shanghai Jinhai Shipping & Trading Company Limited,Unknown,China,2014-06-28 00:00:00,Chemical Tanker ,1984,2539
China,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Guang Ma 1,8314768,China ,,,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Unknown,China,2014-09-30 00:00:00,General Cargo With Container Capacity ,1984,13911
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Qing,8309373,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Xingang,China,2014-01-08 00:00:00,Bulk Carrier ,1985,23279
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Bailo,9134036,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Xin Zhu Hai Shipping Company Limited ,Xingang,China,2014-03-11 00:00:00,Bulk Carrier ,1998,17172
China,China Ocean Shipping (Group) Company (COSCO) ,River Elegance,9072147,Panama ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Xingang,China,2014-03-05 00:00:00,Fully Cellular Containership ,1994,48161
