IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
9117351,STELLA 1,Ro-Ro Cargo Ship,15195,10560.0,1995,Comoros,Korea (South),Hanil Express Co Ltd,Korea (South),Hanil Express Co Ltd,Hanil Express Co Ltd,Korea (South),Chittagong,Bangladesh,2021-06-01,,,
8119728,GORY,Trailing Suction Hopper Dredger,33155,21187.0,1985,St Kitts & Nevis,Belize,Hyundai Corp,Korea (South),Hyundai Engineering,Hyundai Engineering & Steel,Korea (South),Chittagong,Bangladesh,2021-06-01,,,
7619575,CARIBBEAN ENERGY,LNG Tanker,93619,31143.0,1980,Korea (South),,Sinokor Merchant Marine Co Ltd,Korea (South),Sinokor Maritime Co Ltd,Sinokor Maritime Co Ltd,Korea (South),Chittagong,Bangladesh,2021-06-01,,,
9151137,NORI,Chemical/Products Tanker,6268,3199.0,1997,St Kitts & Nevis,Panama,Sunwoo Merchant Marine Co Ltd,Korea (South),KSIM Co Ltd,Golden Slumbers Shipping SA,Panama,Alang,India,2021-06-01,,,
9166558,SHAY,Products Tanker,28519,9289.0,1998,Gabon,Panama,Arab Maritime Petroleum Trans,Kuwait,Arab Maritime Petroleum Trans,Arab Maritime Petroleum Trans,Kuwait,Gadani,Pakistan,2021-06-01,,,
9081837,HAZEL,Crude/Oil Products Tanker,28507,9597.0,1995,Comoros,,Kouros Ventures,Marshall Islands,Kouros Ventures Ltd,Kouros Ventures Ltd,Marshall Islands,Gadani,Pakistan,2021-06-01,,,
9550230,POSH GENTIL,Anchor Handling Tug Supply,2538,,2010,Mexico,,PACC Offshore Mexico SA de CV,Mexico,PACC Offshore Mexico SA de CV,Posh Skua SA de CV,Mexico,Unknown,Mexico,2021-06-01,,,
8304567,VOLVOX DELTA,Trailing Suction Hopper Dredger,8089,6316.0,1984,India,,Van Oord NV,Netherlands,Van Oord NV,Van Oord India Pvt Ltd,India,Aliaga,Turkey,2021-06-01,,,
7369027,TERNESKJAER,General Cargo Ship,882,,1974,Norway,,Austevoll Melaks AS,Norway,Maritime Management AS,Bio Feeder AS,Norway,Esbjerg,Denmark,2021-06-01,,,
9112155,B GAS COMMANDER,LPG Tanker,2458,1493.0,1996,Malta,,Bergshav AS,Norway,B-Gas A/S,LPG Invest AS,Norway,Aliaga,Turkey,2021-06-01,,,
